Progress=100.0, SNR=6.00, Bit Errors=329, BER=5.483333E-004, Frame Errors=20, FER=2.000000E-003, addNum=4256.07, mulNum=2651.41, total_num=6907.48
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=4271.56, mulNum=2655.53, total_num=6927.09
Progress=100.0, SNR=6.00, Bit Errors=81, BER=1.350000E-003, Frame Errors= 3, FER=3.000000E-003, addNum=4257.27, mulNum=2650.93, total_num=6908.20
Progress=100.0, SNR=6.00, Bit Errors=81, BER=1.350000E-003, Frame Errors= 3, FER=3.000000E-003, addNum=4257.27, mulNum=2650.93, total_num=6908.20
Progress=100.0, SNR=6.00, Bit Errors=81, BER=1.350000E-003, Frame Errors= 3, FER=3.000000E-003, addNum=4257.27, mulNum=2650.93, total_num=6908.20
Progress=100.0, SNR=6.00, Bit Errors=81, BER=1.350000E-003, Frame Errors= 3, FER=3.000000E-003, addNum=4257.27, mulNum=2650.93, total_num=6908.20
Progress=100.0, SNR=6.00, Bit Errors=81, BER=1.350000E-003, Frame Errors= 3, FER=3.000000E-003, addNum=4257.27, mulNum=2650.93, total_num=6908.20
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2652.14, total_num=6919.59
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=4267.90, mulNum=2652.80, total_num=6920.70
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2652.14, total_num=6919.59
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2652.14, total_num=6919.59
Progress=100.0, SNR=6.00, Bit Errors=79, BER=7.117117E-003, Frame Errors= 4, FER=2.162162E-002, addNum=4268.82, mulNum=2730.66, total_num=6999.48
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2760.14, total_num=7027.59
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4266.71, mulNum=2760.42, total_num=7027.13
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4266.71, mulNum=2760.42, total_num=7027.13
Progress=100.0, SNR=6.00, Bit Errors=132, BER=1.189189E-002, Frame Errors= 4, FER=2.162162E-002, addNum=4054.78, mulNum=2619.48, total_num=6674.25
Progress=100.0, SNR=6.00, Bit Errors=132, BER=1.189189E-002, Frame Errors= 4, FER=2.162162E-002, addNum=4054.78, mulNum=2619.48, total_num=6674.25
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2760.14, total_num=7027.59
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2760.14, total_num=7027.59
Progress=100.0, SNR=6.00, Bit Errors=10, BER=9.009009E-004, Frame Errors= 1, FER=5.405405E-003, addNum=4267.45, mulNum=2760.14, total_num=7027.59
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=4269.90, mulNum=2867.52, total_num=7137.42
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=4269.90, mulNum=2867.52, total_num=7137.42
Progress=100.0, SNR=6.00, Bit Errors=497, BER=8.283333E-004, Frame Errors=16, FER=1.600000E-003, addNum=4262.88, mulNum=2868.86, total_num=7131.74
Progress=100.0, SNR=6.00, Bit Errors=497, BER=8.283333E-004, Frame Errors=16, FER=1.600000E-003, addNum=4262.88, mulNum=2868.86, total_num=7131.74
Progress=100.0, SNR=6.00, Bit Errors=60, BER=5.714286E-004, Frame Errors= 1, FER=5.714286E-004, addNum=4261.54, mulNum=2869.22, total_num=7130.76
